% Fair or Poor Health,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Uninsured,% Vaccinated,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Ratio,% Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems
25.293873212,20.145484054,46.2,5.8,45.4,13.734466972,11.847012728,10.590988882,30,92.941176471,50.825556353,5.2462955547,34.8,6.2316741357,46.600458365,178.27854239,9.7,16.468590832
20.94174644,19.39464182,32.3,6.3,31.0,43.146712604,14.634360951,8.2793095368,25,88.70292887,57.938420348,3.9224263634,26.8,4.5415308463,31.83662429,226.87244395,10.4,11.733535201
29.158042656,24.770229015,39.4,3.4,33.4,43.016116654,12.711414661,8.5520442778,34,80.263157895,35.9375,4.8337332876,50.9,6.8802900854,50.406032483,293.51184346,10.1,17.09039548
24.863479648,22.467420691,32.6,5.7,40.0,39.019385878,15.395571623,9.3666708973,42,94.690265487,30.713964975,4.3058648849,27.1,5.0296885045,26.309067688,154.85450879,10.0,15.228426396
24.336815437,21.064747174,37.8,6.8,35.2,62.128919596,13.22499882,8.9756801319,46,85.039370079,49.733510993,5.2689152233,24.1,5.0113014098,42.973977695,144.27122991,10.1,8.0924855491
22.278881981,20.399456184,32.8,7.3,35.3,72.616651009,14.099084087,9.6222131672,33,91.930835735,48.782862707,4.0347468282,29.5,4.0614188745,30.47311828,379.99907317,9.9,9.9404761905
18.911733535,18.585972716,43.0,7.5,32.7,46.679150331,15.841285811,7.1151847302,49,90.643274854,60.689485348,3.2109414232,15.9,4.0219985958,26.658088038,340.31158036,10.7,12.637045586
21.945368576,20.813868314,34.7,7.0,30.9,47.623592289,14.581126295,11.462059517,43,87.906976744,35.012737051,2.8683005656,26.5,4.8130820024,22.578933404,187.53973299,9.2,11.464968153
19.774073123,19.92201061,28.8,7.2,29.9,19.311835705,13.282507522,9.7206703911,35,92.43697479,52.731673582,4.1346449431,32.0,4.6578650894,32.721814543,342.15961284,9.4,12.828207052
22.721385795,21.478718195,34.3,5.8,40.0,64.842851226,13.591450194,8.0762711864,43,87.4,56.370896185,4.816955684,32.7,4.9089372253,48.733744011,537.36952462,10.1,15.172008233
27.270440358,23.644712474,40.9,5.7,38.0,71.749139415,12.77043892,7.565356673,43,86.585365854,46.797799944,5.6824671616,35.9,4.8210797863,51.876890233,987.16908698,10.7,16.216216216
28.112733004,22.240461226,38.5,5.7,37.4,57.000859001,11.09457664,8.4918094521,26,90.0,39.615668884,4.3335761107,38.9,6.3235318208,65.650406504,370.99494098,10.1,15.582450832
21.744151884,18.470426628,29.0,6.9,24.4,97.944555708,12.618216016,11.429461227,29,93.103448276,45.388349515,4.8089591568,30.8,4.5203271305,30.538922156,218.50759314,9.5,10.843373494
